model_set,model_key,scope,camera,beach,island,p90,relMAE_all,relMAE_summer,relMAE_season,is_best
lstm_run_20260521_171426,3d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1231,,0.1153,False
lstm_run_20260521_171426,3d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0851,,0.1021,False
lstm_run_20260521_171426,3d,per_beach,port-pollenca,Port Pollença,,34.0,0.0403,,0.0414,False
lstm_run_20260521_171426,3d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0337,,0.0147,False
lstm_run_20260521_171426,3d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0207,,0.0087,False
lstm_run_20260521_171426,3d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1711,,0.2436,False
lstm_run_20260521_171426,10d,OVERALL,ALL,,,,0.0707,0.0971,0.0849,False
lstm_run_20260521_171426,10d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0883,,0.1072,False
lstm_run_20260521_171426,10d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.1072,0.1318,0.1232,False
lstm_run_20260521_171426,10d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1653,,0.1653,False
lstm_run_20260521_171426,10d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0155,,0.0162,False
lstm_run_20260521_171426,10d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0472,0.0568,0.0516,False
lstm_run_20260521_171426,10d,per_beach,port-dandratx,Brismar,,41.0,0.0607,0.0719,0.0617,False
lstm_run_20260521_171426,10d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0442,0.056,0.051,False
lstm_run_20260521_171426,10d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1973,0.2077,0.1973,False
lstm_run_20260521_171426,10d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0908,0.1616,0.1153,False
lstm_run_20260521_171426,10d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.187,0.2271,0.187,False
lstm_run_20260521_171426,10d,per_beach,port-dandratx_2,Brismar,,288.0,0.1609,,0.1506,False
lstm_run_20260521_171426,10d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0483,0.0443,0.0464,False
lstm_run_20260521_171426,10d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0552,,0.0682,False
lstm_run_20260521_171426,10d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0785,0.071,0.0737,False
lstm_run_20260521_171426,10d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0295,0.0528,0.0321,False
lstm_run_20260521_171426,10d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1236,0.1067,0.1196,False
lstm_run_20260521_171426,10d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0406,,,False
lstm_run_20260521_171426,10d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0268,,0.0376,False
lstm_run_20260521_171426,10d,per_beach,andratx,Brismar,,0.0,0.0002,0.0003,0.0003,False
lstm_run_20260521_171426,10d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0707,0.0736,0.0819,False
lstm_run_20260521_171426,10d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0336,0.0391,0.0383,False
lstm_run_20260521_171426,10d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0726,0.0985,0.0789,False
lstm_run_20260521_171426,10d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0765,,0.0874,False
lstm_run_20260521_171426,10d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.167,0.2838,0.2225,False
lstm_run_20260521_171426,10d,per_beach,platja-marina,Marina,,10.0,0.0491,0.0713,0.0683,False
lstm_run_20260521_171426,10d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0578,,0.077,False
lstm_run_20260521_171426,10d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1739,0.2582,0.1905,False
lstm_run_20260521_171426,10d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0119,0.0195,0.0183,False
lstm_run_20260521_171426,10d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0786,0.1354,0.1282,False
lstm_run_20260521_171426,10d,per_beach,es-pujols,Es Pujols,,30.0,0.0508,0.0853,0.0634,False
lstm_run_20260521_171426,10d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0275,0.0433,0.0385,False
lstm_run_20260521_171426,10d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0323,0.0683,0.0459,False
lstm_run_20260521_171426,10d,per_beach,marina,Marina,,10.0,0.0623,0.034,0.0463,False
lstm_run_20260521_171426,10d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0434,,0.0509,False
lstm_run_20260521_171426,10d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.144,0.1878,0.1802,False
lstm_run_20260521_171426,10d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0031,0.0032,0.0032,False
lstm_run_20260521_171426,10d,per_beach,port,Port,,6.0,0.0201,0.0306,0.0304,False
lstm_run_20260521_171426,10d,per_beach,cala-gat,Cala Gat,,4.0,0.0969,,,False
lstm_run_20260521_171426,10d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1178,,,False
lstm_run_20260521_171426,10d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.153,,0.1114,False
lstm_run_20260521_171426,10d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0785,,0.0924,False
lstm_run_20260521_171426,10d,per_beach,port-pollenca,Port Pollença,,34.0,0.0519,,0.0397,False
lstm_run_20260521_171426,10d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0286,,,False
lstm_run_20260521_171426,10d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0176,,,False
lstm_run_20260521_171426,10d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1959,,0.2354,False
lstm_run_20260521_171426,15d,OVERALL,ALL,,,,0.0689,0.097,0.0821,False
lstm_run_20260521_171426,15d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0759,,0.0889,False
lstm_run_20260521_171426,15d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.099,0.1189,0.1151,False
lstm_run_20260521_171426,15d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1443,,0.1443,False
lstm_run_20260521_171426,15d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0181,,0.0138,False
lstm_run_20260521_171426,15d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0466,0.0582,0.0517,False
lstm_run_20260521_171426,15d,per_beach,port-dandratx,Brismar,,41.0,0.0634,0.0726,0.0641,False
lstm_run_20260521_171426,15d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0437,0.0582,0.0507,False
lstm_run_20260521_171426,15d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1531,0.153,0.1531,False
lstm_run_20260521_171426,15d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0782,0.1261,0.0957,False
lstm_run_20260521_171426,15d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1778,0.1926,0.1778,False
lstm_run_20260521_171426,15d,per_beach,port-dandratx_2,Brismar,,288.0,0.1561,,0.1548,False
lstm_run_20260521_171426,15d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0465,0.0444,0.0463,False
lstm_run_20260521_171426,15d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0591,,0.065,False
lstm_run_20260521_171426,15d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0773,0.0728,0.0707,False
lstm_run_20260521_171426,15d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0286,0.043,0.0302,False
lstm_run_20260521_171426,15d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1127,0.0969,0.1037,False
lstm_run_20260521_171426,15d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0546,,,False
lstm_run_20260521_171426,15d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0314,,0.0376,False
lstm_run_20260521_171426,15d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0001,False
lstm_run_20260521_171426,15d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0701,0.0629,0.0789,False
lstm_run_20260521_171426,15d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0301,0.0348,0.0332,False
lstm_run_20260521_171426,15d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0961,0.1741,0.111,False
lstm_run_20260521_171426,15d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0781,,0.0878,False
lstm_run_20260521_171426,15d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.2008,0.4358,0.2643,False
lstm_run_20260521_171426,15d,per_beach,platja-marina,Marina,,10.0,0.0482,0.0638,0.0641,False
lstm_run_20260521_171426,15d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0601,,0.0763,False
lstm_run_20260521_171426,15d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1767,0.2182,0.1861,False
lstm_run_20260521_171426,15d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0116,0.0194,0.0181,False
lstm_run_20260521_171426,15d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0711,0.1364,0.1157,False
